Country Name,Rank,Male,Female,Average,Forest area (1000 ha)
Dominica,76,74.2,80.3,77.2,48.0
Morocco,77,74.0,80.3,77.1,5742.0
Algeria,78,75.6,78.4,77.0,1949.0
Ecuador,79,74.0,80.1,77.0,12498.0
Sri Lanka,81,73.5,80.6,76.9,2113.0
Estonia,83,72.1,81.9,76.9,2438.0
Antigua and Barbuda,85,74.6,79.0,76.7,8.0
Libya,86,74.9,78.5,76.7,217.0
Georgia,87,72.3,80.7,76.4,2822.0
North Macedonia,88,73.8,79.2,76.4,1001.0
Tonga,89,74.9,78.1,76.4,9.0
Croatia,90,72.9,79.4,76.1,1939.0
Hungary,91,72.4,80.0,76.1,2053.0
Mexico,92,73.3,79.0,76.1,65692.0
Venezuela,93,73.0,79.1,76.0,46231.0
Colombia,96,72.8,79.3,75.9,59142.0
Maldives,98,73.5,78.3,75.8,1.0
Mauritius,99,72.4,79.5,75.8,39.0
Oman,100,73.7,77.7,75.7,3.0
Serbia,101,72.8,78.8,75.7,2723.0
Tunisia,102,74.1,77.4,75.7,703.0
Solomon Islands,103,72.9,78.3,75.6,2523.0
Saint Vincent and the Grenadines,104,77.6,69.4,73.5,29.0
Barbados,105,73.2,77.9,75.5,6.0
Saudi Arabia,106,73.4,77.7,75.5,977.0
Romania,108,71.9,79.0,75.4,6929.0
Malaysia,109,72.4,78.2,75.2,19114.0
Syria,111,72.7,77.6,75.1,522.0
Lithuania,112,69.7,80.7,75.0,2201.0
Turkey,113,72.7,77.5,75.0,22220.0
Iraq,114,72.6,77.2,74.9,825.0
El Salvador,115,71.6,78.3,74.9,584.0
Seychelles,116,70.4,79.6,74.9,34.0
Thailand,117,71.7,78.3,74.9,19873.0
Armenia,118,71.6,78.5,74.9,328.0
Jordan,119,73.4,76.3,74.8,98.0
Bulgaria,120,71.4,78.2,74.7,3893.0
Latvia,121,70.1,79.5,74.7,3411.0
Grenada,123,71.9,77.4,74.5,18.0
Samoa,125,71.1,77.0,74.0,162.0
Brazil,126,70.5,77.7,74.0,496620.0
Uzbekistan,127,71.0,77.3,74.0,3690.0
Peru,128,71.9,76.1,74.0,72330.0
Iran,129,72.7,75.5,74.0,10752.0
Jamaica,130,72.1,75.4,73.7,597.0
Vanuatu,131,72.1,75.4,73.7,442.0
Vietnam,132,71.2,76.4,73.7,14643.0
Bangladesh,133,71.3,75.6,73.4,1883.0
Nicaragua,134,71.3,75.8,73.4,3408.0
American Samoa,135,71.3,75.6,73.4,17.0
Palau,137,70.2,76.8,73.4,41.0
Trinidad and Tobago,139,70.2,76.2,73.1,228.0
Belarus,140,67.5,78.8,73.0,8768.0
Egypt,141,71.6,74.4,73.0,45.0
Fiji,142,70.3,75.8,73.0,1140.0
Indonesia,143,70.4,75.7,73.0,92133.0
Azerbaijan,144,69.7,76.1,72.8,1132.0
Guatemala,147,70.6,74.7,72.6,3528.0
Suriname,148,70.1,75.1,72.5,15196.0
Ukraine,150,67.4,77.1,72.1,9690.0
Honduras,151,69.5,72.9,71.2,6359.0
Kazakhstan,152,65.9,76.0,71.1,3455.0
Moldova,153,67.1,75.1,71.0,387.0
Nepal,154,70.4,71.6,71.0,5962.0
Russia,155,65.3,77.1,71.0,815312.0
Kyrgyzstan,156,66.8,75.4,70.9,1315.0
North Korea,157,66.9,74.8,70.7,6287.0
Bhutan,158,69.6,71.7,70.6,2725.0
Turkmenistan,159,67.4,73.6,70.4,4127.0
Mongolia,160,65.7,74.4,69.9,14173.0
Bolivia,161,66.7,72.4,69.5,50834.0
Philippines,162,65.9,73.1,69.4,7189.0
Belize,163,67.3,70.6,68.9,1277.0
India,164,67.6,70.1,68.8,72160.0
Guyana,165,65.6,71.8,68.6,18415.0
Pakistan,168,66.1,70.1,68.1,3726.0
Tajikistan,169,64.9,71.4,68.1,424.0
Papua New Guinea,171,65.1,69.7,67.3,35856.0
Ghana,172,64.5,69.6,67.0,7986.0
Tuvalu,173,64.7,69.2,66.9,1.0
Kiribati,174,64.0,69.1,66.5,1.0
Madagascar,175,64.7,67.8,66.3,12430.0
Yemen,176,63.7,68.2,65.9,549.0
Togo,177,62.8,68.1,65.4,1209.0
São Tomé and Príncipe,178,63.9,66.7,65.3,52.0
Eritrea,179,62.7,67.8,65.2,1055.0
Cambodia,181,62.4,67.5,64.9,8068.0
Laos,182,62.6,66.7,64.6,16596.0
Comoros,183,62.3,67.0,64.6,33.0
Equatorial Guinea,184,63.4,65.8,64.6,2448.0
Sudan,185,62.3,66.7,64.4,18360.0
Kenya,186,62.8,65.8,64.3,3611.0
Rwanda,187,62.3,66.3,64.3,276.0
Haiti,188,61.6,66.8,64.2,347.0
Namibia,189,62.4,65.6,64.0,6639.0
South Africa,190,62.4,65.3,63.8,17050.0
Djibouti,191,61.0,66.2,63.6,6.0
Mauritania,193,61.1,65.8,63.4,313.0
Botswana,194,61.2,65.5,63.3,15255.0
Liberia,195,61.2,65.5,63.3,7617.0
Ethiopia,196,60.1,64.7,62.6,17069.0
Tanzania,197,61.2,64.1,62.6,45745.0
Benin,198,60.9,63.8,62.3,3135.0
Senegal,199,60.0,64.3,62.1,8068.0
Malawi,200,59.7,63.8,61.7,2242.0
Guinea,201,59.5,62.6,61.0,6189.0
Burundi,202,59.2,62.7,60.9,280.0
Zimbabwe,203,58.3,62.5,60.4,17445.0
Mali,204,58.2,62.5,60.3,13296.0
Angola,205,58.2,62.3,60.2,66607.0
Republic of the Congo,206,58.6,61.1,59.8,21946.0
Cameroon,208,57.6,59.9,59.0,20340.0
Sierra Leone,209,56.0,61.3,58.6,2535.0
Democratic Republic of the Congo,210,56.1,59.3,57.7,126155.0
Burkina Faso,211,53.8,58.0,55.9,6216.0
Niger,212,54.7,57.3,55.9,1080.0
Uganda,213,54.4,57.3,55.9,2338.0
Nigeria,214,52.8,55.0,53.8,21627.0
Mozambique,215,52.9,54.5,53.7,36744.0
Lesotho,216,53.0,53.1,53.0,35.0
Somalia,217,50.7,54.9,52.8,5980.0
Central African Republic,218,51.4,54.2,52.8,22303.0
Zambia,219,51.1,54.4,52.7,44814.0
Gabon,220,51.7,52.5,52.1,23531.0
Afghanistan,222,50.3,53.2,51.7,1208.0
Guinea-Bissau,223,48.9,53.1,51.0,1980.0
Chad,224,49.4,51.9,50.6,4313.0
